floor,total floor,years of house,Square footage,building present situation pattern - hall,Transfer building present situation pattern - compartmented,Transfer Management organization,School,0.257-11,Distance To Bay,parking space,logY
9,26,18,33.017875,2,1,1,0.546246659,2,0.978960677,0,3.52672579
9,15,6,44.01375,2,1,1,0.546246659,2,0.978960677,1,3.538017431
1,14,5,41.518125,1,1,1,0.546246659,2,0.978960677,1,4.023846536
11,11,10,13.60645,1,1,1,0.928673668,6,0.108835403,0,3.916838442
3,4,36,20.833175,2,1,0,0.778219795,6,1.738866741,0,3.597867448
12,12,29,34.92665,2,1,1,0.928673668,6,0.108835403,0,3.565516706
8,41,16,11.62205,1,1,1,0.928673668,6,0.108835403,0,3.823028649
12,19,14,21.341375,0,1,1,0.676633362,7,1.252851982,0,3.765182948
5,5,34,24.77475,0,1,0,0.928673668,6,0.108835403,0,3.651650459
14,14,8,37.367825,2,1,1,0.426398957,7,1.213320507,1,3.499931641
6,17,16,11.59785,1,1,1,0.928673668,6,0.108835403,0,3.897615949
4,5,34,25.62175,1,1,0,0.937716511,6,0.20537172,0,3.472695139
2,5,35,26.332625,2,1,0,0.928673668,6,0.108835403,0,3.793379794
13,14,8,22.037125,2,1,1,0.546246659,2,0.978960677,0,3.817061801
10,12,5,14.4353,1,1,1,0.676633362,7,1.252851982,0,3.901815845
33,41,16,10.191225,1,1,1,0.928673668,6,0.108835403,0,3.810115054
17,22,14,10.699425,1,1,1,0.546246659,2,0.978960677,0,3.545201557
5,12,17,11.655325,1,1,1,0.546246659,2,0.978960677,1,3.679055406
5,5,17,33.02695,2,1,0,0.439919644,2,1.659348436,0,3.362319288
9,19,15,22.43945,0,1,1,0.676633362,7,1.252851982,0,3.680894534
10,19,14,27.33995,0,1,1,0.676633362,7,1.252851982,0,3.873501426
4,5,34,25.14985,1,1,0,0.546246659,2,0.978960677,0,3.333558401
8,9,18,28.438025,1,1,1,0.409397976,5,1.315061071,0,3.424710019
4,9,18,33.374825,1,1,1,0.409397976,5,1.315061071,0,3.609707578
9,15,4,37.271025,2,1,1,0.546246659,2,0.978960677,1,3.672943294
4,12,17,13.682075,1,1,0,0.546246659,2,0.978960677,0,3.409011162
8,15,4,37.246825,2,1,1,0.546246659,2,0.978960677,1,3.736953529
11,16,19,32.7305,2,1,1,0.546246659,2,0.978960677,0,3.595693131
11,12,20,15.236925,1,1,1,0.928673668,6,0.108835403,0,3.820530929
1,5,34,27.60615,2,1,0,0.447241877,8,0.061097069,0,2.829587808
11,19,15,27.12215,0,0,1,0.676633362,7,1.252851982,0,3.871399898
22,22,14,55.784025,2,1,1,0.546246659,2,0.978960677,1,3.449183236
14,14,8,29.883975,2,1,1,0.546246659,2,0.978960677,0,3.700957362
20,22,14,57.502225,2,1,1,0.546246659,2,0.978960677,1,3.532696468
13,13,7,21.674125,1,1,1,0.928673668,6,0.108835403,0,3.975454288
4,5,28,30.70375,2,1,0,0.94527531,6,0.133053789,0,3.498952204
14,22,15,36.77795,2,1,0,0.546246659,2,0.978960677,0,3.539333428
10,21,0,54.713175,2,1,0,0.546246659,2,0.978960677,1,3.63209399
15,16,15,27.7695,2,1,1,0.546246659,2,0.978960677,0,3.704058771
3,13,14,20.9451,2,1,1,0.551919167,6,1.348752678,0,3.783495697
4,21,0,56.038125,2,1,0,0.546246659,2,0.978960677,1,3.575389125
20,23,17,13.270675,1,1,1,0.546246659,2,0.978960677,0,3.655246624
8,22,14,57.502225,2,1,1,0.546246659,2,0.978960677,1,3.522479278
11,14,5,21.99175,2,1,1,0.546246659,2,0.978960677,0,3.735868893
9,19,5,24.856425,2,1,1,0.508133014,6,1.39540754,0,3.829918245
17,22,14,63.570375,2,1,1,0.546246659,2,0.978960677,1,3.202579627
10,14,11,37.41925,2,1,1,0.546246659,2,0.978960677,0,3.5459471
12,21,16,37.57655,1,1,1,0.928673668,6,0.108835403,1,3.644333838
4,8,20,38.644375,2,1,1,0.436571707,4,1.2195526,0,3.522345825
2,4,36,20.691,2,1,0,0.456530089,3,1.8720173,0,3.572469714
14,41,16,13.403775,1,1,1,0.928673668,6,0.108835403,0,3.826742213
2,5,28,23.573825,1,1,0,0.546246659,2,0.978960677,0,3.329939639
4,12,5,18.358725,1,1,1,0.676633362,7,1.252851982,0,3.912483144
7,12,5,25.47655,1,1,1,0.676633362,7,1.252851982,1,3.738100781
24,41,16,26.126925,2,1,1,0.928673668,6,0.108835403,0,3.80701566
27,41,16,13.403775,1,1,1,0.928673668,6,0.108835403,0,3.823487022
25,25,2,62.076025,2,1,1,0.928673668,6,0.108835403,1,3.874694249
9,16,18,13.8061,1,1,1,0.676633362,7,1.252851982,0,3.84228707
10,25,2,57.441725,2,1,1,0.928673668,6,0.108835403,1,3.723009327
11,41,16,13.403775,0,0,1,0.928673668,6,0.108835403,0,3.773343144
6,14,7,25.19825,2,1,1,0.546246659,2,0.978960677,0,3.798939974
10,12,17,25.50075,0,1,1,0.546246659,2,0.978960677,0,3.45275627
16,22,15,43.907875,2,1,1,0.546246659,2,0.978960677,0,3.457772813
7,17,16,14.420175,1,1,1,0.928673668,6,0.108835403,0,3.885903497
2,12,5,25.921225,1,1,1,0.676633362,7,1.252851982,1,3.638514327
20,21,0,32.8031,1,1,1,0.546246659,2,0.978960677,1,3.620012352
11,14,8,21.8042,2,1,1,0.546246659,2,0.978960677,0,3.752871415
5,12,5,14.601675,1,1,1,0.676633362,7,1.252851982,0,3.918192165
10,12,5,21.45935,2,1,1,0.676633362,7,1.252851982,0,3.986957884
4,12,5,26.39615,2,1,1,0.676633362,7,1.252851982,1,3.796992768
5,27,16,62.44205,2,1,1,0.546246659,2,0.978960677,1,3.4628774
9,14,5,24.36335,1,1,1,0.546246659,2,0.978960677,0,3.81394434
8,14,8,29.690375,2,1,1,0.426398957,7,1.213320507,0,3.68218437
14,16,16,22.76615,2,1,1,0.928673668,6,0.108835403,0,3.852720995
10,21,0,54.453025,2,1,0,0.546246659,2,0.978960677,1,3.647319197
8,41,16,13.403775,1,1,1,0.928673668,6,0.108835403,0,3.713297261
10,21,17,35.867425,2,1,1,0.546246659,2,0.978960677,0,3.282789725
4,5,33,26.6079,2,1,0,0.811346396,6,0.193535966,0,3.392858029
4,7,22,39.5065,5,1,1,0.546246659,2,0.978960677,0,3.485549651
8,22,14,22.539275,2,1,1,0.546246659,2,0.978960677,0,3.711870606
4,9,18,29.194275,1,1,1,0.409397976,5,1.315061071,0,3.481640865
5,5,32,23.35905,1,1,0,0.676633362,7,1.252851982,0,3.598195896
1,5,28,29.103525,2,1,0,0.700639626,5,1.469588565,0,3.858329647
3,4,36,24.5267,1,1,0,0.946476186,3,1.385672294,0,3.268753929
15,15,6,22.8569,1,1,0,0.546246659,2,0.978960677,0,3.665173281
11,19,5,21.534975,1,1,1,0.928673668,6,0.108835403,0,3.961652017
21,22,17,22.926475,1,1,1,0.928673668,6,0.108835403,0,3.788306564
12,14,18,21.175,1,1,1,0.676633362,7,1.252851982,0,3.794307854
3,14,7,27.597075,2,1,1,0.426398957,7,1.213320507,0,3.753521475
2,4,36,20.691,2,1,0,0.456530089,3,1.8720173,0,3.611079871
1,4,36,20.3159,1,1,0,0.459705659,1,1.595647433,0,3.648295007
2,4,34,24.5025,1,1,0,0.827699877,4,1.511364127,0,3.516005021
11,41,16,9.949225,1,1,1,0.928673668,6,0.108835403,0,3.857255627
12,14,13,30.966925,2,1,1,0.546246659,2,0.978960677,0,3.505332704
16,41,16,16.0083,1,1,1,0.928673668,6,0.108835403,0,3.6501531
18,23,17,20.7031,1,1,1,0.546246659,2,0.978960677,0,3.478043118
